Date,Price_beef_infl,Price_rice_infl,Price_coffee_infl
2060-11-01,8.84,0.83,5.67
2060-12-01,8.85,0.83,5.68
2061-01-01,8.86,0.83,5.68
2061-02-01,8.86,0.83,5.68
2061-03-01,8.87,0.83,5.69
2061-04-01,8.88,0.83,5.69
2061-05-01,8.89,0.83,5.69
2061-06-01,8.89,0.83,5.70
2061-07-01,8.90,0.83,5.70
2061-08-01,8.91,0.83,5.70
2061-09-01,8.92,0.83,5.71
2061-10-01,8.93,0.83,5.71
2061-11-01,8.93,0.83,5.71
2061-12-01,8.94,0.83,5.71
2062-01-01,8.95,0.83,5.72
2062-02-01,8.96,0.83,5.72
2062-03-01,8.96,0.84,5.72
2062-04-01,8.97,0.84,5.73
2062-05-01,8.98,0.84,5.73
2062-06-01,8.99,0.84,5.73
2062-07-01,8.99,0.84,5.74
2062-08-01,9.00,0.84,5.74
2062-09-01,9.01,0.84,5.74
2062-10-01,9.02,0.84,5.74
2062-11-01,9.03,0.84,5.75
2062-12-01,9.03,0.84,5.75
2063-01-01,9.04,0.84,5.75
2063-02-01,9.05,0.84,5.76
2063-03-01,9.06,0.84,5.76
2063-04-01,9.06,0.84,5.76
2063-05-01,9.07,0.84,5.77
2063-06-01,9.08,0.84,5.77
2063-07-01,9.09,0.84,5.77
2063-08-01,9.09,0.84,5.78
2063-09-01,9.10,0.84,5.78
2063-10-01,9.11,0.84,5.78
2063-11-01,9.12,0.85,5.78
2063-12-01,9.13,0.85,5.79
2064-01-01,9.13,0.85,5.79
2064-02-01,9.14,0.85,5.79
2064-03-01,9.15,0.85,5.80
2064-04-01,9.16,0.85,5.80
2064-05-01,9.16,0.85,5.80
2064-06-01,9.17,0.85,5.81
2064-07-01,9.18,0.85,5.81
2064-08-01,9.19,0.85,5.81
2064-09-01,9.19,0.85,5.82
2064-10-01,9.20,0.85,5.82
2064-11-01,9.21,0.85,5.82
2064-12-01,9.22,0.85,5.82
2065-01-01,9.23,0.85,5.83
2065-02-01,9.23,0.85,5.83
2065-03-01,9.24,0.85,5.83
2065-04-01,9.25,0.85,5.84
2065-05-01,9.26,0.85,5.84
2065-06-01,9.26,0.86,5.84
2065-07-01,9.27,0.86,5.85
2065-08-01,9.28,0.86,5.85
2065-09-01,9.29,0.86,5.85
2065-10-01,9.29,0.86,5.86
2065-11-01,9.30,0.86,5.86
